"","taxa","Antibiotic","Cephalosporins","Metronidazole","Carbapenem","Meropenem","Piperacillin.tazobactam","Vancomycin","Amphotericin.B"
"1","k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__",NA,NA,NA,NA,NA,0.427982975114557,NA,NA
"2","k__Bacteria.__.__.__.__.__.__",NA,NA,0.339893185086121,NA,1.63944533329682,0.210419409475289,1.63944533329682,1.37800655119892
"3","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa",NA,NA,0.0248506893540762,NA,0.771827827905277,NA,0.771827827905277,0.688757003556826
"4","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__",0.326470445480447,NA,NA,NA,NA,NA,NA,NA
"5","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__longum",NA,NA,NA,NA,NA,0.00652273173282417,NA,NA
"6","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella.s__lenta",NA,NA,NA,NA,NA,0.0119646017299684,NA,NA
"7","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Barnesiellaceae..g__.s__",NA,0.048714128889937,NA,NA,NA,NA,NA,NA
"8","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter.s__",NA,0.108715573011397,NA,NA,NA,NA,NA,NA
"9","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__",NA,0.908064018609694,NA,NA,NA,NA,NA,NA
"10","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__caccae",NA,NA,NA,NA,NA,1.48213351021969,NA,NA
"11","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus",NA,NA,NA,1.84398935282348,NA,2.0540587720374,NA,NA
"12","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis",NA,NA,NA,0.776325058025617,NA,NA,NA,NA
"13","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__",NA,1.00933657554973,NA,NA,10.7116885415054,NA,10.7116885415054,7.43034111898079
"14","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__",0.0355457279970642,NA,NA,NA,NA,NA,NA,NA
"15","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__copri",1.85181712936451,NA,NA,NA,NA,NA,NA,NA
"16","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__.s__",NA,NA,NA,0.0757769597593024,NA,NA,NA,NA
"17","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__onderdonkii",NA,1.01448856426888,NA,NA,NA,NA,NA,NA
"18","k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__",NA,NA,NA,NA,NA,NA,NA,0.109015064588844
"19","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__",NA,NA,0.00655593528017348,3.33552266807567,0.0406349836779632,3.67232763322459,0.0406349836779632,0.0363329463116186
"20","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__",NA,NA,0.00614458640304787,NA,0.0452340359469828,NA,0.0452340359469828,0.0403973159155635
"21","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__",NA,1.29620830614745,NA,1.36496272077726,NA,NA,NA,NA
"22","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__",NA,2.71276188008496,0.00286941455608621,2.82721920821666,0.160515782533563,NA,0.160515782533563,0.143387523711698
"23","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__",NA,NA,NA,0.453936434474366,NA,NA,NA,NA
"24","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__",NA,0.0180099926887414,NA,0.0191098545781928,NA,NA,NA,NA
"25","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__.s__",NA,NA,0.11375106651137,NA,NA,NA,NA,NA
"26","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__.s__",NA,NA,NA,NA,NA,0.00408233823489882,NA,NA
"27","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__",NA,NA,NA,0.283535708329912,NA,0.337087234063051,NA,NA
"28","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__",NA,0.149235854993208,NA,0.156888255076158,NA,NA,NA,NA
"29","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques",NA,0.263426705162303,1.04484141768548,NA,0.986987195337656,NA,0.986987195337656,NA
"30","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__",NA,NA,NA,0.33864008950718,NA,NA,NA,NA
"31","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__",0.752475584332348,0.927825351873443,NA,NA,NA,NA,NA,NA
"32","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.__",NA,NA,NA,NA,NA,NA,NA,4.71976217608383
"33","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__citroniae",0.304985471765883,NA,NA,NA,NA,NA,NA,NA
"34","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense",NA,0.0588937554996828,NA,NA,NA,NA,NA,NA
"35","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__",NA,NA,NA,0.456457935973108,NA,NA,NA,NA
"36","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__",NA,0.407755639142637,NA,NA,NA,NA,NA,NA
"37","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__formicigenerans",NA,0.052203676599909,NA,0.054195706359774,NA,NA,NA,NA
"38","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__",NA,NA,NA,0.0389356323509802,NA,NA,NA,NA
"39","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__",NA,NA,NA,0.108962191306108,NA,NA,NA,NA
"40","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__faecis",NA,NA,NA,0.326570268132006,NA,NA,NA,NA
"41","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__",NA,NA,NA,NA,1.56355015558055,NA,1.56355015558055,NA
"42","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__",NA,NA,NA,0.213746990314599,NA,NA,NA,NA
"43","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii",NA,NA,0.826969828335234,NA,NA,NA,NA,NA
"44","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__",NA,NA,NA,NA,NA,0.241705871602434,NA,NA
"45","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__",NA,0.324634701721057,NA,NA,NA,NA,NA,NA
"46","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__dispar",NA,NA,NA,0.0329942000079434,NA,NA,NA,0.00221937405814128
"47","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula",NA,NA,NA,0.00668844602110572,NA,NA,NA,NA
"48","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Clostridium.s__spiroforme",NA,0.0831371858258609,NA,NA,NA,NA,NA,NA
"49","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__",NA,2.63936603904666,NA,NA,NA,NA,NA,NA
"50","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Haemophilus.s__parainfluenzae",NA,NA,NA,0.0158440324929401,NA,NA,NA,NA
